BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
VONC BREWING CO.,BREWERY,7:00 PM,THURSDAY,,,1210 STANBRIDGE ST,SUITE 300,NORRISTOWN,PA,19401,,,,,,,MIKE ARGY,QUIZZO,"1210 STANBRIDGE ST, SUITE 300, NORRISTOWN, PA, 19401",40.1299855,-75.3453432
FAT LADY BREWING,BREWERY,7:00 PM,WEDNESDAY,,MANAYUNK,4323 MAIN ST,,PHILADELPHIA,PA,19127,CASH,25.0,CASH,15.0,CASH,10.0,QUIZZOMAN,QUIZZO,"4323 MAIN ST, PHILADELPHIA, PA, 19127",40.0253364,-75.2227355
BROKEN GOBLET BREWING,BREWERY,8:00 PM,WEDNESDAY,,,2500 STATE ROAD,,ANDALUSIA,PA,19120,,,,,,,RIGHTEOUS JOLLY,QUIZZO,"2500 STATE ROAD, ANDALUSIA, PA, 19120",40.0634142,-74.9666794
PUNCH BUGGY BREWING COMPANY,BREWERY,7:30 PM,WEDNESDAY,,FISHTOWN,1445 N AMERICAN ST,,PHILADELPHIA,PA,19122,,,,,,,SEAN MAGUIRE,QUIZZO,"1445 N AMERICAN ST, PHILADELPHIA, PA, 19122",39.9736573,-75.1397376
FREE WILL BREWING CO.,BREWERY,7:00 PM,WEDNESDAY,,,410 E WALNUT ST,"#1, 10",PERKASIE,PA,18944,,,,,,,THE QUIZZO GUYS,QUIZZO,"410 E WALNUT ST, #1, 10, PERKASIE, PA, 18944",40.3649382,-75.288328
CARTESIAN BREWING,BREWERY,7:00 PM,THURSDAY,,SOUTH PHILADELPHIA,326 E PASSYUNK AVE,,PHILADELPHIA,PA,19147,,,,,,,TRIVIA MONTY,QUIZZO,"326 E PASSYUNK AVE, PHILADELPHIA, PA, 19147",39.9369904,-75.1547917
AXE AND ARROW BREWING,BREWERY,7:00 PM,WEDNESDAY,,,105 HIGH ST W,,GLASSBORO,NJ,8028,,,,,,,TRIVIAME,QUIZZO,"105 HIGH ST W, GLASSBORO, NJ, 8028",40.2933253,-73.9978509
SOURCE,BREWERY,7:00 PM,MONDAY,,FISHTOWN,1101 FRANKFORD AVE,,PHILADELPHIA,PA,19125,,,,,,,TRIVIATAINMENT,QUIZZO,"1101 FRANKFORD AVE, PHILADELPHIA, PA, 19125",39.967718,-75.134316
MEYERS BREWING COMPANY,BREWERY,7:30 PM,THURSDAY,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125,,,,,,,,QUIZZO,"436 E GIRARD AVE, PHILADELPHIA, PA, 19125",39.9704195,-75.129135
NAKED BREWING COMPANY,BREWERY,7:00 PM,TUESDAY,,,212 MILL ST,,BRISTOL BOROUGH,PA,19007,,,,,,,,QUIZZO,"212 MILL ST, BRISTOL BOROUGH, PA, 19007",40.0951389,-74.8574916
