Drink,Sips Price,Normal Price,Comparison Result,Sips Bar
Tecate,$5.00,,,The Balcony Bar at the Kimmel Center
Rosemarina,$7.00,,,Bar-Ly Chinatown
Zinfandel,$6.00,,,Bar-Ly Chinatown
Corona Premier,$5.00,,,Bar-Ly Chinatown
Troegs Sunshine Pils,$5.00,,,Barbuzzo
Victory Brothery Love,$5.00,,,Barstool Sansom Street
Hoegarrden,$5.00,,,The Black Sheep
Firestone Walker Union Jack IPA,$5.00,,,Blume Burger
Maragrita,$7.00,,,Bodega Taco Bar
Mojito,$7.00,,,Bodega Taco Bar
Martini,$7.00,,,Buca D'oro Ristorante
Sheet Bend,$7.00,,,Butcher Bar
Peroni,$5.00,,,The Cauldron Philly
Fat Heads Sunshine Daydream,$5.00,,,The Cauldron Philly
Mango Tango,$6.00,,,The Cauldron Philly
Bourbon Punch,$7.00,,,City Tap House Logan Square
PBC Walt Wit,$5.00,,,City Tap House Logan Square
Ranch Wooder,$7.00,,,Con Murphy's Irish Pub
Estralla Jalisco,$5.00,,,Devil's Alley
Hugo,$7.00,,,Dolce Italian
Barbera,$6.00,,,Dolce Italian
Yards Summer Crush,$5.00,,,Dolce Italian
Barrel Hitch,$7.00,,,Double Knot
Montucky Cold Snacks,$5.00,,,Double Knot
Gio's Tea,$7.00,,,Giovani's Bar & Grill
La Grenada,$7.00,,,Giuseppe and Sons
Vino Rosso,$6.00,,,Giuseppe and Sons
Vino Bianco,$6.00,,,Giuseppe and Sons
Arizona Hard Ice Tea,$5.00,,,The Goat Rittenhouse
The Secret Garden,$7.00,,,Harp & Crown
Pacifico,$5.00,,,The Hayes
Sunny in Pils,$5.00,,,Iron Hill Brewery & Restaurant
Brambleberry,$5.00,,,Iron Hill Brewery & Restaurant
Homestead,$5.00,,,Iron Hill Brewery & Restaurant
Pig Iron Porter,$5.00,,,Iron Hill Brewery & Restaurant
Philly Uniteds,$5.00,,,Kook Burger & Bar
Kirin,$5.00,,,Leda and the Swan Cocktail Lounge
Solid Gold Founders,$5.00,,,The Mulberry on Arch
