Bar Name,Address,Url,Latitude,Longitude
Flambo Caribbean Restaurant*,"205 S 13th St, Philadelphia PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#flambo-caribbean-restaurant,39.948599125,-75.162324125
Giovani's Bar & Grill,"1533 Chestnut St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#giovani-s-bar-grill,39.951220612244896,-75.16616536734693
Giuseppe and Sons,"1523 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#giuseppe-and-sons,39.950452346938775,-75.16619875510204
The Goat Rittenhouse,"1907 Sansom St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-goat-rittenhouse,39.95120836734694,-75.17230359183674
Gran Caffe L'Aquila,"1716 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#gran-caffe-l-aquila,39.95118775,-75.16953315949416
Hard Rock Cafe,"1113 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#hard-rock-cafe,39.9520693,-75.1596357
Harp & Crown,"1525 Sansom St, Philadelphia, PA, 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#harp-crown1,39.950455469387755,-75.1662245510204
The Hayes,"1123 Walnut Street Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-hayes,39.94888952380953,-75.15993766666666
Independence Beer Garden,"100 S Independence Mall W, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#independence-beer-garden,39.949115,-75.1509
Iron Hill Brewery & Restaurant,"1150 Market Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#iron-hill-brewery-restaurant,39.9517161,-75.1595773
Kook Burger & Bar,"2102 Market St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#kook-burger-bar,39.953743387755104,-75.17528855102042
Ladder 15,"1528 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#ladder-15,39.95027665,-75.166953880266
Leda and the Swan Cocktail Lounge,"1224 Chestnut St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#leda-and-the-swan-cocktail-lounge,39.95037269387755,-75.1606928367347
Little Nonna's,"1234 Locust St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#little-nonna-s,39.947784842105264,-75.16182389473684
Marathon 16th & Sansom,"121 S 16th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#marathon-16th-sansom,39.9504294,-75.1672599
Misconduct Tavern,"1801 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#misconduct-tavern,39.954295,-75.169931
The Mulberry on Arch,"1835 Arch St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-mulberry-on-arch,39.95565685,-75.1707803663445
Pagano's Market and Bar,"2001 Market St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#paganos-market-and-bar,39.95361,-75.173199
Patchwork,"1620 Chancellor St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#patchwork,39.94935623469388,-75.16802231632653
The Patio @ Thirteen Restaurant,"1201 Market St., Philadelphia, PA",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#patio-at-thirteen-restaurant,39.952543000000006,-75.16060407927046
Pearl & Mary,"114 S 13th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pearl-mary,39.949728,-75.162082
Prunella,"112 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#prunella,39.94997,-75.162028
Sampan,"124 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sampan7,39.94966692857143,-75.16209521428571
Sueno,"114 S. 12th St., Philadelphia PA, 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sueno,39.9498686,-75.1606032
Thanal Indian Tavern,"1939 Arch Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#thanal-indian-tavern,39.95573105,-75.17256255460606
Time Restaurant,"1315 Sansom St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#time-restaurant,39.94999236363636,-75.16253518181819
Tir Na Nog Irish Bar & Grill,"1600 Arch St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tir-na-nog-irish-bar-grill,39.954589299999995,-75.167008371508
Top Tomato Bar & Pizza,"116 S 11th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#top-tomato-bar-pizza,39.949595599999995,-75.15896866873356
Tradesman's,"1322 Chestnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#tradesman-s,39.95060708333334,-75.16260241666667
Uptown Beer Garden,"1500 John F Kennedy Blvd, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#uptown-beer-garden,39.95347419843962, -75.16587717408699
Veda - Modern Indian Bistro,"1920 Chestnut St., Philadelphia PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#veda-modern-indian-bistr,39.95175635,-75.17289475578013
Via Locusta,"1723 Locust St,  Philadelphia PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#via-locust,39.94891916326531,-75.16961781632654
Vintage Wine Bar & Bistro,"129 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#vintage-wine-bar-bistro,39.94964838461538,-75.16188238461538
Walnut Garden - Temporarily Closed,"1708 Walnut Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#walnut-garden,39.94989310641763,-75.16937888434617
The Wayward,"1170 Ludlow St., Philadelphia, PA",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-wayward-canopy,39.95123353061225,-75.15948418367347
Wicked Wolf,"1214-1216 Chestnut St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#wicked-wolf,39.9509073,-75.1641959
Wrap Shack,"112 S 11th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#wrap-shack,39.9497848,-75.1588326
