Bar,Drink,Predicted Item,Price,Sips Deal
Cavanaugh's Rittenhouse,Bridge Lane Rose,Rosé,$10.00,N
Cavanaugh's Rittenhouse,Champagne,Champagne,$8.25,N
Cavanaugh's Rittenhouse,Prosecco,Prosecco,$10.00,N
Cavanaugh's Rittenhouse,Eola Hills Pinot Noir,Pinot Noir,$8.50,N
Cavanaugh's Rittenhouse,Dona Paula Los Cardos Malbec,Malbec,$8.50,N
Cavanaugh's Rittenhouse,Philly Style Cabernet,Cabernet Sauvignon,$8.50,N
1225 Raw Sushi and Sake Lounge,Sumo Punch,Sumo Punch,$7,Y
1225 Raw Sushi and Sake Lounge,Ginger Spirit,Ginger Spirit,$7,Y
1225 Raw Sushi and Sake Lounge,Fruit Sake,Sake,$7,Y
1225 Raw Sushi and Sake Lounge,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
1225 Raw Sushi and Sake Lounge,Chardonnay,Chardonnay,$6,Y
1225 Raw Sushi and Sake Lounge,Cabernet Sauvignon,Cabernet Sauvignon,$6,Y
1225 Raw Sushi and Sake Lounge,Pinot Noir,Pinot Noir,$6,Y
1225 Raw Sushi and Sake Lounge,Bud Light,Bud Light,$5,Y
1518 Bar and Grill,Blue Margarita,Margarita,$7,Y
1518 Bar and Grill,Chardonnay,Chardonnay,$6,Y
1518 Bar and Grill,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
1518 Bar and Grill,Merlot,Merlot,$6,Y
1518 Bar and Grill,Kenzinger Bottle,Kenzinger,$5,Y
1518 Bar and Grill,Budweiser Bottle,Budweiser,$5,Y
1518 Bar and Grill,Coors Light Bottle,Coors Light,$5,Y
1518 Bar and Grill,Miller Lite Bottle,Miller Lite,$5,Y
Air Grille Garden at Dilworth Park,Passion Fruit Margarita made with Hornitos Tequila,Margarita,$7,Y
Air Grille Garden at Dilworth Park,House wine,Vermentino,$6,Y
Air Grille Garden at Dilworth Park,Kona Big Wave beer,Kona Big Wave,$5,Y
Ancient Spirits & Grille,Bee On Thyme,Bee On Thyme,$7,Y
Ancient Spirits & Grille,La Vie En Rose,Rosé,$7,Y
Ancient Spirits & Grille,Gin (Nikka Coffey or Toki Hibiscus),Gin (Nikka Coffey or Toki Hibiscus),$7,Y
Ancient Spirits & Grille,Pinot Grigio Bottle,Pinot Gris / Pinot Grigio,$6,Y
Ancient Spirits & Grille,Red Blend,Red,$6,Y
Ancient Spirits & Grille,Draft Sparkling,Corona Light,$6,Y
Ancient Spirits & Grille,Love City Lager,Love City Lager,$5,Y
Ancient Spirits & Grille,Downeast Cider,Downeast Cider,$5,Y
Ancient Spirits & Grille,New Belgium Voodoo Ranger Juicy Haze,New Belgium Voodoo Ranger,$5,Y
ArtBar at Sonesta Hotel,Man With No Name,Man With No Name,$7,Y
ArtBar at Sonesta Hotel,Rum Swizzle,Rum Swizzle,$7,Y
ArtBar at Sonesta Hotel,Craft Cosmo,Cosmopolitan,$7,Y
ArtBar at Sonesta Hotel,Joel Gott Sauvignon Blanc,Sauvignon Blanc,$6,Y
ArtBar at Sonesta Hotel,Cantina Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
ArtBar at Sonesta Hotel,Collier Creek Cabernet,Cabernet Sauvignon,$6,Y
ArtBar at Sonesta Hotel,Day Owl Rose,Rosé,$6,Y
ArtBar at Sonesta Hotel,Michelob Ultra,Michelob Ultra,$5,Y
ArtBar at Sonesta Hotel,Modelo Especial,Modelo,$5,Y
ArtBar at Sonesta Hotel,Yards IPA,Yards IPA,$5,Y
ArtBar at Sonesta Hotel,Sam Adams Summer Love,Sam Adams,$5,Y
The Balcony Bar at the Kimmel Center,The Overture,The Great Eye,$7,Y
The Balcony Bar at the Kimmel Center,The Chorus,The Great Eye,$7,Y
The Balcony Bar at the Kimmel Center,The Crescendo,The Great Eye,$7,Y
The Balcony Bar at the Kimmel Center,Plus a variety of adult sno,Neshaminy Creek Shape of Hops,$7,Y
The Balcony Bar at the Kimmel Center,House Red,Red,$6,Y
The Balcony Bar at the Kimmel Center,House White,White,$6,Y
The Balcony Bar at the Kimmel Center,Tecate,Tecate,$5,Y
Bank and Bourbon,"Philly Sunrise: tequila, house",Tequila Sunrise,$7,Y
Bank and Bourbon,Chardonnay,Chardonnay,$6,Y
Bank and Bourbon,Pinot Noir,Pinot Noir,$6,Y
Bank and Bourbon,Miller Light,Miller Lite,$5,Y
Bar Bombón,La Paloma with Hornitos,Paloma,$7,Y
Bar Bombón,Rosa,Frozen Astronaut,$6,Y
Bar Bombón,Tecate,Tecate,$5,Y
Bar-Ly Chinatown,Hornitos Margarita,Margarita,$7,Y
Bar-Ly Chinatown,Hornitos Sunrise,Tequila Sunrise,$7,Y
Bar-Ly Chinatown,Hornitos Spritzer,Rosemarina,$7,Y
Bar-Ly Chinatown,Cabernet,Cabernet Sauvignon,$6,Y
Bar-Ly Chinatown,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Bar-Ly Chinatown,White Zinfandel,Zinfandel,$6,Y
Bar-Ly Chinatown,Yuengling,Yuengling,$5,Y
Bar-Ly Chinatown,Corona Premier,Corona Premier,$5,Y
Bar-Ly Chinatown,Miller Lite,Miller Lite,$5,Y
Barbuzzo,Passionfruit Tequila Punch,Tequila Punch,$7,Y
Barbuzzo,Chardonnay,Chardonnay,$6,Y
Barbuzzo,Pinot Noir,Pinot Noir,$6,Y
Barbuzzo,Troegs Sunshine Pils,Troegs Sunshine Pils,$5,Y
Barstool Sansom Street,Barstool Margarita (with Hornitos),Margarita,$7,Y
Barstool Sansom Street,Watermelon Margarita (with Hornitos & Watermelon Red Bull),Margarita,$7,Y
Barstool Sansom Street,Tropical Tequila (with Hornitos and Tropical Red Bull),Margarita,$7,Y
Barstool Sansom Street,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Barstool Sansom Street,Victory Brothery Love,Victory Brothery Love,$5,Y
The Black Sheep,Hornitos Paloma,Paloma,$7,Y
The Black Sheep,Cabernet,Cabernet Sauvignon,$6,Y
The Black Sheep,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
The Black Sheep,Carlsberg,Carlsberg,$5,Y
The Black Sheep,Yards,Yards IPA,$5,Y
The Black Sheep,Hoegarrden,Hoegarrden,$5,Y
Blume Burger,"Blue Margarita: Hornitos Tequila, Orange Liqueur, Blueberry",Margarita,$7,Y
Blume Burger,Pull Cabernet,Cabernet Sauvignon,$6,Y
Blume Burger,Vin Blanc Chardonnay,Chardonnay,$6,Y
Blume Burger,Sutter Home Rose,Rosé,$6,Y
Blume Burger,2SP Delco Lager,2SP Delco Lager,$5,Y
Blume Burger,Firestone Walker Union Jack IPA,Firestone Walker Union Jack IPA,$5,Y
Blume Burger,Sierra Nevada Pale Ale,Sierra Nevada Pale Ale,$5,Y
Bodega Taco Bar,"Maragritas (Regular, Spicy, Blood Orange, Strawberry)",Maragrita,$7,Y
Bodega Taco Bar,Mojito,Mojito,$7,Y
Bodega Taco Bar,Twin Vines Vinho Verde,Frozen Astronaut,$6,Y
Bodega Taco Bar,House Malbec,Malbec,$6,Y
Bodega Taco Bar,Miller Lite,Miller Lite,$5,Y
Brü Craft & Wurst,Spicy Paloma,Paloma,$7,Y
Brü Craft & Wurst,House Red,Red,$6,Y
Brü Craft & Wurst,House White,White,$6,Y
Brü Craft & Wurst,House Rose,Rosé,$6,Y
Buca D'oro Ristorante,"Madagascar: Fresh lemon juice, hot iris tequila blanco and tamarindo extract",Martini,$7,Y
Buca D'oro Ristorante,"Aperol spritz: Aperol, splash of club soda and prosseco",Aperol Spritz,$7,Y
Buca D'oro Ristorante,Lemon drop martini: vodka lemon juice and simple syrup,Martini,$7,Y
Buca D'oro Ristorante,House Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Buca D'oro Ristorante,House Chianti,White,$6,Y
Buca D'oro Ristorante,House Merlot,Merlot,$6,Y
