Comparison Result,Comparison Fraction,Deal Count,Deal Weight,Result Score,Fraction Score,Deal Score,Sips Bar
12.809999999999999,32.25,4,0.3076923076923077,3.4720512820512814,5.614024390243902,1.4,1.4
22.56,34.666666666666664,6,0.46153846153846156,6.222051282051281,6.197560975609756,2.9,2.9
11.9,37.0,3,0.23076923076923078,3.2153846153846155,6.760975609756098,1.2,1.2
17.57,41.75,4,0.3076923076923077,4.814615384615385,7.907926829268294,2.0,2.0
3.57,37.0,1,0.07692307692307693,0.8658974358974357,6.760975609756098,0.3,0.3
9.75,33.333333333333336,3,0.23076923076923078,2.6089743589743586,5.875609756097561,1.0,1.0
14.9,31.4,5,0.38461538461538464,4.061538461538461,5.4087804878048775,1.8,1.8
10.809999999999999,35.333333333333336,3,0.23076923076923078,2.9079487179487176,6.358536585365854,1.1,1.1
7.9,37.5,2,0.15384615384615385,2.0871794871794873,6.881707317073171,0.7,0.7
5.0,5.0,5,5.0,5.0,5.0,5.0,5.0
14.559999999999999,43.333333333333336,3,0.23076923076923078,3.965641025641025,8.290243902439025,1.4,1.4
4.25,23.5,2,0.15384615384615385,1.0576923076923077,3.5012195121951217,0.4,0.4
5.0,5.0,5,5.0,5.0,5.0,5.0,5.0
7.75,37.0,2,0.15384615384615385,2.0448717948717947,6.760975609756098,0.7,0.7
9.0,39.0,2,0.15384615384615385,2.3974358974358974,7.2439024390243905,0.7,0.7
7.9,37.5,2,0.15384615384615385,2.0871794871794873,6.881707317073171,0.7,0.7
5.0,5.0,5,5.0,5.0,5.0,5.0,5.0
11.969999999999999,19.833333333333332,6,0.46153846153846156,3.235128205128205,2.6158536585365852,1.4,1.4
10.469999999999999,24.5,4,0.3076923076923077,2.8120512820512817,3.7426829268292683,1.0,1.0
