Name,Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Many Vegetarian Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Trendy,Classy,Moderate Noise,Casual Dress,Offers Catering,Good for Groups,Good for Dinner,Street Parking,Validated Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,TV,Gender-neutral restrooms,Good For Kids,Bike Parking,Neighborhoods,Yelp Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Casual,Good for Lunch,Dinner,Waiter Service,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Pool Table,Wi-Fi,Dogs Allowed,Wheelchair Accessible,Heated Outdoor Seating,Private Dining,Happy Hour,Smoking,Covered Outdoor Seating,Reservations,Quiet,Valet Parking,Good For Dancing,Good For Working,Dogs Not Allowed,Takeout,Delivery,Limited Vegetarian Options,Good for Brunch,Garage Parking,Loud,Late Night,Plastic-free packaging,Provides reusable tableware,Walk-ins Welcome,Intimate,Romantic,Upscale,Private Lot Parking,Smoking Outside Only,Offers Military Discount,Open to All,Pescatarian Options,Best nights on Wednesday,Dressy,Keto Options,Drive-Thru,Not Wheelchair Accessible,Good for Breakfast,Lunch,Good for Working,Beer and Wine Only,Best nights on Monday,Best nights on Tuesday,Good For Groups,Very Loud,Good for Late Night,Best nights on Sunday,Dessert,Touristy,Black-owned,Live Music,EV charging station available,DJ,Juke Box,Soy-Free Options,Hipster,Alcohol,Asian-owned,Bring your own container allowed,Compostable containers available,Background Music,All Ages,Latinx-owned,Women-owned,Paid Wi-Fi
Continental Midtown,True,True,True,True,True,True,False,True,,True,True,,True,True,False,True,True,True,,True,True,True,True,,True,True,"['Penn Center', 'Rittenhouse Square']",3.7,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,,,,True,True,True,True,True,,,True,True,,,True,True,,,,True,,False,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craftsman Row Saloon,True,,,,,True,,False,,True,,,,,,True,,True,,,True,True,True,,,True,,3.4,Closed,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 10:00 PM,True,,,,,True,True,True,True,,,True,,,,True,,,,True,,False,,,,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Jack's Tavern,,True,True,,,True,,,,True,,,,,False,,,,,,True,True,True,,,True,['Avenue of the Arts South'],4.5,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,,,,True,,,,,True,,True,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil's Alley,True,True,True,,True,True,,False,,True,,,True,,False,True,True,True,,,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",3.5,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 12:00 AM (Next day),True,,,,,True,True,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dim Sum House by Jane G's,True,True,True,True,True,True,False,False,,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,"['Rittenhouse Square', 'Penn Center']",3.9,Closed,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:00 PM,,,,True,,,,,,,True,,,,,,,,,,,False,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolce Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Penn Center', 'Avenue of the Arts South', 'Rittenhouse Square']",3.9,Closed,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 9:30 PM,7:00 AM - 2:30 PM,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
Double Knot,True,,True,True,True,True,False,False,False,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,['Avenue of the Arts South'],4.3,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 10:00 PM,,,,True,True,,True,True,True,,True,True,True,,True,True,,,,True,,False,,True,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drinker's Pub,,,True,True,,True,False,False,False,True,,,,,False,True,,True,,,,True,True,,True,True,"['Penn Center', 'Rittenhouse Square']",3.4,4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),True,,,True,True,True,True,True,True,,True,True,,True,,,True,,,True,,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
Drury Beer Garden (DBG),,,,,,True,,False,,True,,,,,,True,,True,,,True,True,True,,,True,['Avenue of the Arts South'],3.7,Closed,Closed,4:00 PM - 1:00 AM (Next day),4:00 PM - 1:00 AM (Next day),4:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),12:00 PM - 10:00 PM,True,,,,True,True,True,True,True,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
Fado Irish Pub,True,,True,True,True,True,,False,,True,,,True,,False,True,,True,,,True,True,True,,True,True,['Rittenhouse Square'],3.6,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 2:00 AM (Next day),10:00 AM - 2:00 AM (Next day),10:00 AM - 10:00 PM,True,,,,,True,True,True,True,,,,,,,True,,,,True,,,,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
Fahrenheit 451 Pizza and Bar,,,,,,,,,,True,,True,,,,,,,,,,,,,,,"['Penn Center', 'Logan Square']",3.2,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn McCools Ale House,True,,True,,,True,,False,,True,,,True,,False,True,,True,True,True,True,True,True,,True,True,,3.6,4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),True,,,True,,True,True,True,,,True,True,,,True,True,,,,,,,,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
Flambo Caribbean Restaurant,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,['Washington Square West'],3.4,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,4:00 PM - 10:30 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani's Bar & Grill,,True,True,,,True,,,False,True,,,True,,True,True,,True,,True,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",4.2,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 12:00 AM (Next day),10:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 10:00 PM,True,True,True,True,,,True,True,,,True,True,,,True,True,True,,,True,,False,,,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
Giuseppe and Sons,True,,,,True,True,,False,,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,,"['Penn Center', 'Rittenhouse Square']",4.0,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,,,True,,,True,True,,,True,True,True,,,True,,,,True,,False,True,True,,,True,,,,,,,True,,,,,True,,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
The Goat Rittenhouse,True,,True,True,,True,,False,False,True,,True,,,False,,,True,,True,,True,True,True,,True,"['Rittenhouse Square', 'Penn Center']",3.4,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),True,,,True,,,True,True,,,,True,True,True,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gran Caffe L'Aquila,True,True,True,True,,True,,True,,True,,True,True,True,True,True,,True,,,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",4.3,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 10:00 PM,True,True,True,True,,,,,True,,True,True,True,,,True,,,,,True,False,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
Hard Rock Cafe,True,True,True,,,True,,True,,True,,,,,True,True,,True,True,True,True,True,True,,True,True,['Market East'],2.7,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 10:00 PM,,True,True,True,,,,,,,True,True,True,,,True,,,,,,False,,,True,,True,True,,,,,,,,,,True,True,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
Harp & Crown,True,,,True,,True,False,False,False,True,True,,True,,True,True,True,True,,,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",4.1,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM (Next day),10:30 AM - 2:30 PM,10:30 AM - 3:00 PM,,,,True,,,,,True,,True,True,,,,True,,,,,,False,True,True,True,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,Closed,4:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 12:00 AM (Next day),12:00 PM - 12:00 AM (Next day),12:00 PM - 10:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence Beer Garden,,,,,True,True,False,False,False,True,True,,True,,False,True,,True,,,True,True,True,,True,True,,3.6,3:00 PM - 12:00 AM (Next day),3:00 PM - 12:00 AM (Next day),3:00 PM - 12:00 AM (Next day),3:00 PM - 12:00 AM (Next day),3:00 PM - 2:00 AM (Next day),12:00 PM - 2:00 AM (Next day),12:00 PM - 12:00 AM (Next day),True,True,,True,,True,True,,True,,True,,,,,True,True,,,True,,False,True,True,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
Iron Hill Brewery & Restaurant,True,True,True,True,True,True,,,,True,True,True,True,,,True,True,True,,True,True,True,True,,True,,,3.8,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 10:00 PM,True,,,True,,,,,,,True,,True,,,,,,,,True,False,,,,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kook Burger & Bar,,True,True,,,True,,True,,,,True,,,,,,,,,True,,True,,,,['Penn Center'],3.4,11:00 AM - 1:00 AM (Next day),11:00 AM - 1:00 AM (Next day),11:00 AM - 1:00 AM (Next day),11:00 AM - 1:00 AM (Next day),11:00 AM - 1:00 AM (Next day),11:00 AM - 1:00 AM (Next day),11:00 AM - 1:00 AM (Next day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
