Name,Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Many Vegetarian Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Trendy,Classy,Moderate Noise,Casual Dress,Offers Catering,Good for Groups,Good for Dinner,Street Parking,Validated Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,TV,Gender-neutral restrooms,Good For Kids,Bike Parking,Neighborhoods,Yelp Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Casual,Good for Lunch,Dinner,Waiter Service,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Pool Table,Wi-Fi,Dogs Allowed,Wheelchair Accessible,Heated Outdoor Seating,Private Dining,Happy Hour,Smoking,Covered Outdoor Seating,Reservations,Quiet,Valet Parking,Good For Dancing,Good For Working,Dogs Not Allowed,Takeout,Delivery,Limited Vegetarian Options,Good for Brunch,Garage Parking,Loud,Late Night,Plastic-free packaging,Provides reusable tableware,Walk-ins Welcome,Intimate,Romantic,Upscale,Private Lot Parking,Smoking Outside Only,Offers Military Discount,Open to All,Pescatarian Options,Best nights on Wednesday,Dressy,Keto Options,Drive-Thru,Not Wheelchair Accessible,Good for Breakfast,Lunch,Good for Working,Beer and Wine Only,Best nights on Monday,Best nights on Tuesday,Good For Groups,Very Loud,Good for Late Night,Best nights on Sunday,Dessert,Touristy,Black-owned,Live Music,EV charging station available,DJ,Juke Box,Soy-Free Options,Hipster,Alcohol,Asian-owned,Bring your own container allowed,Compostable containers available,Background Music,All Ages,Latinx-owned,Women-owned,Paid Wi-Fi
The Black Sheep,,,,,,True,,False,,True,,,,,,True,,True,,True,True,True,True,True,,True,['Rittenhouse Square'],3.6,11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 12:00 AM (Next day),True,,,,True,True,True,True,,,,,,,,,True,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Taco Bar,True,True,True,True,,True,True,False,False,True,,True,True,True,False,True,,True,,True,True,True,True,True,,True,,3.7,Closed,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 12:00 AM (Next day),True,,,True,,,,,,,True,,,,,,,,,,,False,,,,,True,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brü Craft & Wurst,,,True,,True,True,,,,True,True,,,,False,True,,True,,True,True,True,True,,True,True,['Avenue of the Arts South'],3.5,11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),,True,True,True,,True,True,True,,,True,True,,,True,True,True,,,True,,False,,,,,,True,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buca D'oro Ristorante,True,True,True,True,True,True,False,False,False,True,,True,,,False,True,True,True,True,True,True,True,True,,True,True,['Washington Square West'],3.5,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,Closed,,,,True,,,,,,,True,,,,True,,,True,,,,False,,,,,True,,,,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butcher Bar,True,True,True,True,,True,,False,,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,"['Rittenhouse Square', 'Penn Center']",4.0,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 9:00 PM,True,,,True,True,True,True,True,,,,True,True,,True,True,,,,True,,False,,,True,,,,,,,,,,,,,,,True,,,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriccio Café and Bar,,True,True,,,True,True,True,,True,,,True,,True,True,,True,,True,True,True,True,True,True,True,"['Penn Center', 'Logan Square', 'Art Museum District']",3.2,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,,,,True,,,,,,True,True,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
The Cauldron Philly,True,,,,,True,,,,True,,True,True,,,True,,,,True,True,,True,True,,True,"['Washington Square West', 'Avenue of the Arts South']",4.2,Closed,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:30 PM - 10:00 PM,4:00 PM - 12:00 AM (Next day),1:30 PM - 12:00 AM (Next day),1:00 PM - 9:00 PM,,,,,,,,True,,,,True,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
Cavanaugh's Rittenhouse,,True,True,,True,True,False,True,False,True,,,True,,True,True,True,True,,True,True,True,True,,True,True,"['Rittenhouse Square', 'Penn Center']",3.6,11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),11:30 AM - 2:00 AM (Next day),True,,,True,,,,True,,,True,True,True,,,True,,,,True,,False,,,,,True,,True,,,,,,,,True,,,,True,,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
City Tap House Logan Square,True,True,True,True,True,True,True,False,,True,,,,,False,True,,,,True,True,True,True,True,True,True,"['Penn Center', 'Logan Square', 'Art Museum District']",3.9,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 8:00 PM,True,True,True,True,,,,,,,True,,,,,,,,,,,False,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Con Murphy's Irish Pub,,True,True,,True,True,,False,,True,,,True,,False,True,,True,True,True,,True,True,,True,True,"['Penn Center', 'Logan Square', 'Art Museum District']",3.7,11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),9:00 AM - 12:00 AM (Next day),9:00 AM - 2:00 AM (Next day),9:00 AM - 2:00 AM (Next day),9:00 AM - 11:00 PM,True,True,True,True,True,True,,True,,True,True,,,True,True,,True,,True,True,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
