BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
TRIPLE BOTTOM BREWING,"BREWERY,RESTAURANT",6:00 PM,WEDNESDAY,"FIRST_OF_MONTH,THIRD_OF_MONTH",SPRING ARTS,915 SPRING GARDEN ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
OTHER HALF,"BREWERY,RESTAURANT",6:30 PM,WEDNESDAY,,FISHTOWN,1002 CANAL ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
CHESTNUT HILL BREWING COMPANY,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,CHESTNUT HILL,8231 GERMANTOWN AVE,,PHILADELPHIA,PA,19118,GROWLER,1,,,,,,QUIZZO
VICTORY BREWING COMPANY,"BREWERY,RESTAURANT",6:30 PM,MONDAY,,CENTER CITY,1776 BEN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103,GIFT_CARD,50,GIFT_CARD,25,BEER_SIX_PACK,1,,QUIZZO
WELL CRAFTED BEER COMPANY,"BREWERY,RESTAURANT",7:30 PM,THURSDAY,,,310 MADISON ST,,LANSDALE,PA,19446,,,,,,,,QUIZZO
ANIMATED BREWING,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,255 MT AIRY RD,,COATESVILLE,PA,19320,,,,,,,,QUIZZO
EAST BRANCH BREWING CO,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,202 E LANCASTER AVE,,DOWNINGTOWN,PA,19335,GIFT_CARD,30,,,,,,QUIZZO
HUMAN ROBOT JENKINTOWN,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,208 YORK RD,,JENKINTOWN,PA,19046,,,,,,,,QUIZZO
WORKHORSE BREWING COMPANY,"BREWERY,RESTAURANT",6:30 PM,TUESDAY,,,250 KING MANOR DR,SUITE 300,KING OF PRUSSIA,PA,19406,,,,,,,,QUIZZO
MIDNIGHT OIL BREWING COMPANY,"BREWERY,RESTAURANT",7:00 PM,TUESDAY,,,74 PENCADER DR,,NEWARK,DE,19702,,,,,,,,QUIZZO
STABLE 12 BREWING CO.,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,368 BRIDGE ST,,PHOENIXVILLE,PA,19460,,,,,,,,QUIZZO
STICKMAN BREWS,"BREWERY,RESTAURANT",7:00 PM,THURSDAY,,,326 N LEWIS RD,#240,ROYERSFORD,PA,19468,,,,,,,,QUIZZO
IMPRINT BEER CO.,"BREWERY,RESTAURANT,ARCADE,CANTINA",7:00 PM,THURSDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 INDUSTRY RD,STE R,HATFIELD,PA,19440,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
STOLEN SUN BREWING AND ROASTING,"BREWERY,ROASTERY",6:30 PM,WEDNESDAY,,,342 N POTTSTOWN PIKE,SUITE B,EXTON,PA,19341,,,,,,,SHAMUS HALLORAN,QUIZZO
SHADY BROOK FARM,FARMERS_MARKET,7:00 PM,WEDNESDAY,,,931 STONY HILL RD,,YARDLEY,PA,19067,,,,,,,EMILY AND JOE,QUIZZO
SANTUCCI'S,PIZZERIA,7:00 PM,WEDNESDAY,,WEST POPLAR,655 N BROAD ST,,PHILADELPHIA,PA,19123,,,,,,,SJK,QUIZZO
RAMS PIZZA,PIZZERIA,8:00 PM,TUESDAY,,,25 E BROADWAY AVE,,CLIFTON HEIGHTS,PA,19018,,,,,,,,QUIZZO
PAPPOUS PIZZA PUB,"PIZZERIA,BAR",8:00 PM,THURSDAY,,,415 BALTIMORE PIKE,,MORTON,PA,19070,,,,,,,,QUIZZO
TONELLI'S,"PIZZERIA,BAR",7:00 PM,TUESDAY,,,278 EASTON RD,,HORSHAM,PA,19044,,,,,,,,QUIZZO
NICK'S ROAST BEEF WOODHAVEN,RESTAURANT,8:00 PM,THURSDAY,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154,,,,,,,,QUIZZO
NICK'S ROAST BEEF COTTMAN,RESTAURANT,8:00 PM,WEDNESDAY,,NORTHEAST PHILADELPHIA,2210 COTTMAN AVE,,PHILADELPHIA,PA,19149,,,,,,,,QUIZZO
