BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
DOCK STREET SOUTH,"BREWERY,RESTAURANT",,SOUTH PHILADELPHIA,2118 WASHINGTON AVE,,PHILADELPHIA,PA,19146.0,"2118 WASHINGTON AVE, PHILADELPHIA, PA, 19146",39.9391251,-75.17949,8:00 PM,WEDNESDAY,,,,,,,JOHNNY GOODTIMES,QUIZZO
DUFFERS MILL,"RESTAURANT,BAR",,,1600 NAAMANS CREEK RD,,BOOTHWYN,PA,19061.0,"1600 NAAMANS CREEK RD, BOOTHWYN, PA, 19061",39.8215115,-75.4483078,7:00 PM,TUESDAY,GIFT_CARD,25.0,,,,,THOMPSON ENT,QUIZZO
EL CAMINO,"RESTAURANT,BAR,CANTINA",,NORTHERN LIBERTIES,1040 N 2ND ST,,PHILADELPHIA,PA,19123.0,"1040 N 2ND ST, PHILADELPHIA, PA, 19123",39.9673562,-75.1406178,6:15 PM,WEDNESDAY,,,,,,,,QUIZZO
EVIL GENIUS BEER COMPANY,BREWERY,,FISHTOWN,1727 N FRONT ST,,PHILADELPHIA,PA,19122.0,"1727 N FRONT ST, PHILADELPHIA, PA, 19122",39.9757484,-75.1338733,7:00 PM,WEDNESDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
FAT LADY BREWING,BREWERY,,MANAYUNK,4323 MAIN ST,,PHILADELPHIA,PA,19127.0,"4323 MAIN ST, PHILADELPHIA, PA, 19127",40.0253364,-75.2227355,7:00 PM,WEDNESDAY,GIFT_CARD,$25,CASH, $15,CASH, $10,QUIZZOMAN,QUIZZO
FETTE SAU,"RESTAURANT,BAR",,FISHTOWN,1208 FRANKFORD AVE,,PHILADELPHIA,PA,19125.0,"1208 FRANKFORD AVE, PHILADELPHIA, PA, 19125",39.9692461,-75.1345372,6:30 PM,WEDNESDAY,,,,,,,,QUIZZO
FREE WILL BREWING CO.,BREWERY,,,410 E WALNUT ST,"#1, 10",PERKASIE,PA,18944.0,"410 E WALNUT ST, #1, 10, PERKASIE, PA, 18944",40.3649382,-75.288328,7:00 PM,WEDNESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
FRINGE ARTS,,,OLD CITY,140 N Columbus Blvd,,,PA,19106.0,"140 N Columbus Blvd, Philadelphia, PA 19106",39.9532864,-75.1404276,7:00 PM,,,,,,,,JGT QUIZZO,
GARAGE FISHTOWN,,,FISHTOWN,100 E Girard Ave,,,PA,19125.0,"100 E Girard Ave, Philadelphia, PA 19125",39.968652,-75.1341591350603,7:00 PM,,,,,,,,LUNCHMONEYQUIZZO,
GAUL & CO. MALT HOUSE,"RESTAURANT,BAR",,PORT RICHMOND,2619 E. INDIANA AVE,,PHILADELPHIA,PA,19134.0,"2619 E. INDIANA AVE, PHILADELPHIA, PA, 19134",39.9826447,-75.1075175,8:00 PM,TUESDAY,,,,,,,SEALYONS86,QUIZZO
