BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
SOURCE,BREWERY,,FISHTOWN,1101 FRANKFORD AVE,,PHILADELPHIA,PA,19125.0,"1101 FRANKFORD AVE, PHILADELPHIA, PA, 19125",39.967718,-75.134316,7:00 PM,MONDAY,,,,,,,TRIVIATAINMENT,QUIZZO
MEYERS BREWING COMPANY,BREWERY,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125.0,"436 E GIRARD AVE, PHILADELPHIA, PA, 19125",39.9704195,-75.129135,7:30 PM,THURSDAY,,,,,,,,QUIZZO
NAKED BREWING COMPANY,BREWERY,,,212 MILL ST,,BRISTOL BOROUGH,PA,19007.0,"212 MILL ST, BRISTOL BOROUGH, PA, 19007",40.0951389,-74.8574916,7:00 PM,TUESDAY,,,,,,,,QUIZZO
MECHANICAL BREWERY,BREWERY,,,5 PERINA BLVD SUITE,800,CHERRY HILL,NJ,8003.0,"5 PERINA BLVD SUITE, 800, CHERRY HILL, NJ, 8003",39.90107159488436,-74.98447087425866,6:30 PM,THURSDAY,,,,,,,,QUIZZO
BALD BIRDS BREWING,BREWERY,,,970 RITTENHOUSE RD,#400,AUDUBON,PA,19403.0,"970 RITTENHOUSE RD, #400, AUDUBON, PA, 19403",40.1266302,-75.4165027,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
LUNACY BREWING COMPANY,BREWERY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 W KINGS HWY,,HADDON HEIGHTS,NJ,8035.0,"1500 W KINGS HWY, HADDON HEIGHTS, NJ, 8035",39.88165,-75.07849,7:00 PM,THURSDAY,,,,,,,,QUIZZO
LOWER FORGE BREWERY,BREWERY,,,14 S MAIN ST,,MEDFORD,NJ,8055.0,"14 S MAIN ST, MEDFORD, NJ, 8055",39.8991599,-74.8237133,7:00 PM,THURSDAY,,,,,,,,QUIZZO
URBAN VILLAGE BREWING CO.,"BREWERY,BAR",,NORTHERN LIBERTIES,1001 N 2ND ST,,PHILADELPHIA,PA,19123.0,"1001 N 2ND ST, PHILADELPHIA, PA, 19123",39.9670501,-75.1398455,8:00 PM,THURSDAY,GIFT_CARD,40.0,GIFT_CARD,25.0,GIFT_CARD,10.0,,QUIZZO
LOVE CITY BREWING,"BREWERY,FOOD_TRUCKS",FIRST_OF_MONTH,CALLOWHILL,1023 HAMILTON ST,,PHILADELPHIA,PA,19123.0,"1023 HAMILTON ST, PHILADELPHIA, PA, 19123",39.9602868,-75.1552483,8:00 PM,WEDNESDAY,,,,,,,WILL WALKER,O
WISSAHICKON BREWING COMPANY,"BREWERY,FOOD_TRUCKS",,EAST FALLS,3705 W SCHOOL HOUSE LN,,PHILADELPHIA,PA,19129.0,"3705 W SCHOOL HOUSE LN, PHILADELPHIA, PA, 19129",40.0136778,-75.2004463,7:30 PM,THURSDAY,,,,,,,SEAN MAGUIRE,QUIZZO
TWISTED GINGERS,"BREWERY,RESTAURANT",,MANAYUNK,4317 FLEMING ST,,PHILADELPHIA,PA,19128.0,"4317 FLEMING ST, PHILADELPHIA, PA, 19128",40.0275252,-75.2185435,6:30 PM,MONDAY,,,,,,,BREWTENANT DAN,QUIZZO
DOCK STREET SOUTH,"BREWERY,RESTAURANT",,SOUTH PHILADELPHIA,2118 WASHINGTON AVE,,PHILADELPHIA,PA,19146.0,"2118 WASHINGTON AVE, PHILADELPHIA, PA, 19146",39.9391251,-75.17949,8:00 PM,WEDNESDAY,,,,,,,JOHNNY GOODTIMES,QUIZZO
TRIPLE BOTTOM BREWING,"BREWERY,RESTAURANT","FIRST_OF_MONTH,THIRD_OF_MONTH",SPRING ARTS,915 SPRING GARDEN ST,,PHILADELPHIA,PA,19123.0,"915 SPRING GARDEN ST, PHILADELPHIA, PA, 19123",39.9621393,-75.1533935,6:00 PM,WEDNESDAY,,,,,,,,QUIZZO
OTHER HALF,"BREWERY,RESTAURANT",,FISHTOWN,1002 CANAL ST,,PHILADELPHIA,PA,19123.0,"1002 CANAL ST, PHILADELPHIA, PA, 19123",39.9648491,-75.1350634,6:00 PM,WEDNESDAY,,,,,,,,QUIZZO
CHESTNUT HILL BREWING COMPANY,"BREWERY,RESTAURANT",,CHESTNUT HILL,8231 GERMANTOWN AVE,,PHILADELPHIA,PA,19118.0,"8231 GERMANTOWN AVE, PHILADELPHIA, PA, 19118",40.073592,-75.2028298,7:00 PM,WEDNESDAY,GROWLER,1.0,,,,,,QUIZZO
VICTORY BREWING COMPANY,"BREWERY,RESTAURANT",,CENTER CITY,1776 BEN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103.0,"1776 BEN FRANKLIN PARKWAY, PHILADELPHIA, PA, 19103",41.0333063,-80.4006399,6:30 PM,MONDAY,GIFT_CARD,50.0,GIFT_CARD,25.0,BEER_SIX_PACK,1.0,,QUIZZO
WELL CRAFTED BEER COMPANY,"BREWERY,RESTAURANT",,,310 MADISON ST,,LANSDALE,PA,19446.0,"310 MADISON ST, LANSDALE, PA, 19446",40.2437935,-75.2865272,7:30 PM,THURSDAY,,,,,,,,QUIZZO
ANIMATED BREWING,"BREWERY,RESTAURANT",,,255 MT AIRY RD,,COATESVILLE,PA,19320.0,"255 MT AIRY RD, COATESVILLE, PA, 19320",39.9927805,-75.8305739,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
EAST BRANCH BREWING CO,"BREWERY,RESTAURANT",,,202 E LANCASTER AVE,,DOWNINGTOWN,PA,19335.0,"202 E LANCASTER AVE, DOWNINGTOWN, PA, 19335",40.0067258,-75.700761,7:00 PM,WEDNESDAY,GIFT_CARD,30.0,,,,,,QUIZZO
HUMAN ROBOT JENKINTOWN,"BREWERY,RESTAURANT",,,208 YORK RD,,JENKINTOWN,PA,19046.0,"208 YORK RD, JENKINTOWN, PA, 19046",40.0946043,-75.12524,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
WORKHORSE BREWING COMPANY,"BREWERY,RESTAURANT",,,250 KING MANOR DR,SUITE 300,KING OF PRUSSIA,PA,19406.0,"250 KING MANOR DR, SUITE 300, KING OF PRUSSIA, PA, 19406",40.0914317,-75.3504214,6:30 PM,TUESDAY,,,,,,,,QUIZZO
MIDNIGHT OIL BREWING COMPANY,"BREWERY,RESTAURANT",,,74 PENCADER DR,,NEWARK,DE,19702.0,"74 PENCADER DR, NEWARK, DE, 19702",39.6119712,-75.7616813,7:00 PM,TUESDAY,,,,,,,,QUIZZO
