BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
ERA,8:30 PM,,BREWERYTOWN,2743 POPLAR ST,,PHILADELPHIA,PA,19130.0,,,,,,,JB,
NICK'S ROAST BEEF COTTMAN,8:00 PM,,NE PHILLY,2210 COTTMAN AVE,,,,,,,,,,,,
TABU,7:00 PM,,CENTER CITY,254 S 12TH ST,,PHILADELPHIA,PA,19107.0,,,,,,,AURORA WHOREALIS,
TIR NA NOG,7:00 PM,,CENTER CITY,,,,,,GIFT_CARD,PRESS PLAY DJ,,,,,,
SUTTON'S,8:00 PM,,KENSINGTON,1706 N 5TH ST,,PHILADELPHIA,PA,19122.0,GIFT_CARD,$50,, $25,,,JAWNYQ,
COOK AND SHAKER,7:00 PM,,PORT RICHMOND,,,,,,,,,,,,,
OTHER HALF,6:00 PM,,FISHTOWN,,,,,,,,,,,,,
CHESTNUT HILL BREWING COMPANY,7:00 PM,,CHESTNUT HILL,8231 GERMANTOWN AVE,,PHILADELPHIA,PA,19118.0,,,,,,,,
NUTMEG NA BAR,7:30 PM,,E PASSYUNK,,,,,,,,,,,,,
EL CAMINO,6:15 PM,,NORTHERN LIBERTIES,,,,,,,,,,,,,
TRIPLE BOTTOM,6:00 PM,,SPRING ARTS,,,,,,,,,,,,@PHILLYQUIZZO,
BLACK TAXI,7:00 PM,,FAIRMOUNT,745 N 25TH ST,,PHILADELPHIA,PA,19130.0,,,,,,,TIM STEPHENS,
THE THIRSTY DICE,6:30 PM,,FAIRMOUNT,1642 FAIRMOUNT AVE,,PHILADELPHIA,PA,19130.0,,,,,,,,
URBAN SALOON,8:00 PM,,FAIRMOUNT,2120 FAIRMOUNT AVE,,PHILADELPHIA,PA,19130.0,,,,,,,,
KELLIANN'S,8:30 PM,,FAIRMOUNT,1549 SPRING GARDEN STREET,,PHILADELPHIA,PA,19130.0,,,,,,,,
HUMBLE PARLOR,7:30 PM,,FISHTOWN,,,,,,,,,,,,ANXIOUSMILLENIAL QUIZZO AND JUNK DRAWER QUIZZO,
EVIL GENIUS,7:30 PM,,FISHTOWN,1727 N FRONT ST,,PHILADELPHIA,PA,19122.0,,,,,,,LUNCH MONEY QUIZZO,
SOUTHHOUSE,8:00 PM,,SOUTH PHILADELPHIA,,,,,,,,,,,,,
SANTUCCI'S,7:00 PM,,NORTH BROAD/WEST POPLAR,,,,,,,,,,,,KARLY MOON TRIVIA,
PUNCH BUGGY BREWING COMPANY,7:30 PM,,FISHTOWN,1445 N AMERICAN ST,,PHILADELPHIA,PA,19122.0,,,,,,,SEAN MAGUIRE,
MIFFLIN TAVERN,7:00 PM,,SOUTH PHILADELPHIA,,,,,,GIFT_CARD,NAME THAT TUNE,,,,,,
FAT LADY BREWING,7:00 PM,,MANAYUNK,4323 MAIN ST,,PHILADELPHIA,PA,19127.0,GIFT_CARD,$25,, $15,, $10,QUIZZOMAN,
THE BLACK SHEEP,8:00 PM,,CENTER CITY,,,,,,,,,,,,,
O'JUNG'S,7:00 PM,,PENNSPORT,,,,,,,,,,,,SJK MEDIA,
TOSKA,7:00 PM,,MOUNT AIRY,,,,,,,,,,,,KARLYMOONTRIVIA,
UNION TAP HOUSE,7:30 PM,,MANAYUNK,4801 UMBRIA ST,,PHILADELPHIA,PA,19127.0,GIFT_CARD,$50,,,,,JUSTIN CREDIBLE,
