BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,PRIZE_1_AMOUNT,HOST,Full Address,EVENT_TYPE
MOUNT AIRY TAP ROOM,8:00 PM,TUESDAY,MOUNT AIRY,"GC: $50, $30",,"300 W MT PLEASANT AVE, PHILADELPHIA, PA 19119",QUIZZO
PHILADELPHIA BREWING CO,7:30 PM,TUESDAY,E KENSINGTON,,BARRETT,"FRANKFORD AVE, PHILADELPHIA, PA",QUIZZO
FERGIE'S PUB,8:00 PM,TUESDAY,CENTER CITY,"$50, $25",JAWNYQ,"1214 SANSOM ST, PHILADELPHIA, PA 19107",QUIZZO
12 STEPS DOWN,8:00 PM,WEDNESDAY,BELLA VISTA,"GC: $30, $15",HTOTHEQUIZZO,"831 CHRISTIAN ST, PHILADELPHIA, PA 19147",MUSIC_QUIZZO
NITTY'S TAVERN,7:00 PM,WEDNESDAY,PASSYUNK,,,"1720 W MOYAMENSING AVE, PHILADELPHIA, PA 19145",QUIZZO
MAGGIE'S WATERFRONT CAFE,8:00 PM,WEDNESDAY,TORRESDALE,,KATIE DAVIS,"9242 DELAWARE AVE, PHILADELPHIA, PA 19114",QUIZZO
ERA,8:30 PM,WEDNESDAY,BREWERYTOWN,,JB,"2743 POPLAR ST, PHILADELPHIA, PA 19130",QUIZZO
NICK'S ROAST BEEF COTTMAN,8:00 PM,WEDNESDAY,NE PHILLY,,,"2210 COTTMAN AVE, PHILADELPHIA PA 19149",QUIZZO
TABU,7:00 PM,WEDNESDAY,CENTER CITY,,AURORA WHOREALIS,"254 S 12TH ST, PHILADELPHIA, PA 19107",QUIZZO
TIR NA NOG,7:00 PM,WEDNESDAY,CENTER CITY,PRESS PLAY DJ,,"CENTER CITY, PHILADELPHIA, PA",QUIZZO
SUTTON'S,8:00 PM,WEDNESDAY,KENSINGTON,"$50, $25",JAWNYQ,"1706 N 5TH ST, PHILADELPHIA, PA 19122",QUIZZO
COOK AND SHAKER,7:00 PM,WEDNESDAY,PORT RICHMOND,,,"PORT RICHMOND, PHILADELPHIA, PA",QUIZZO
OTHER HALF,6:00 PM,WEDNESDAY,FISHTOWN,,,"FISHTOWN, PHILADELPHIA, PA",QUIZZO
CHESTNUT HILL BREWING COMPANY,7:00 PM,WEDNESDAY,CHESTNUT HILL,,,"8231 GERMANTOWN AVE, PHILADELPHIA, PA 19118",QUIZZO
NUTMEG NA BAR,7:30 PM,WEDNESDAY,E PASSYUNK,,,"1835 E PASSYUNK AVE, PHILADELPHIA, PA",QUIZZO
TRIPLE BOTTOM,6:00 PM,WEDNESDAY,SPRING ARTS,,@PHILLYQUIZZO,"SPRING GARDEN STREET, PHILADELPHIA, PA",QUIZZO
BLACK TAXI,7:30 PM,WEDNESDAY,FAIRMOUNT,,TIM STEPHENS,"745 N 25TH ST, PHILADELPHIA, PA 19130",QUIZZO
URBAN SALOON,8:00 PM,WEDNESDAY,FAIRMOUNT,,,"2120 FAIRMOUNT AVE, PHILADELPHIA, PA 19130",QUIZZO
KELLIANN'S BAR AND GRILL,8:30 PM,WEDNESDAY,FAIRMOUNT,,,"1549 SPRING GARDEN STREET, PHILADELPHIA, PA 19130",QUIZZO
HUMBLE PARLOR,7:30 PM,WEDNESDAY,FISHTOWN,,ANXIOUSMILLENIAL QUIZZO AND JUNK DRAWER QUIZZO,"E GIRARD AVE, PHILADELPHIA, PA",QUIZZO
EVIL GENIUS BEER COMPANY,7:30 PM,WEDNESDAY,FISHTOWN,,LUNCH MONEY QUIZZO,"1727 N FRONT ST, PHILADELPHIA, PA 19122",QUIZZO
SOUTHHOUSE,7:30 PM,WEDNESDAY,SOUTH PHILADELPHIA,,,"SOUTH PHILADELPHIA, PHILADELPHIA, PA",QUIZZO
SANTUCCI'S,7:00 PM,WEDNESDAY,NORTH BROAD/WEST POPLAR,,KARLY MOON TRIVIA,"N BROAD AND WALLACE, PHILADELPHIA, PA",QUIZZO
PUNCH BUGGY BREWING COMPANY,7:30 PM,WEDNESDAY,FISHTOWN,,SEAN MAGUIRE,"1445 N AMERICAN ST, PHILADELPHIA, PA 19122",QUIZZO
MIFFLIN TAVERN,7:00 PM,WEDNESDAY,SOUTH PHILADELPHIA,NAME THAT TUNE,,"SOUTH PHILADELPHIA, PHILADELPHIA, PA",QUIZZO
FAT LADY BREWING,7:00 PM,WEDNESDAY,MANAYUNK,"$25, $15, $10",QUIZZOMAN,"4323 MAIN ST, PHILADELPHIA, PA 19127",QUIZZO
ATTIC BREWING,7:00 PM,WEDNESDAY,,,PHILLYQUIZZO,"137 BERKLEY ST, PHILADELPHIA, PA 19144",QUIZZO
THE BLACK SHEEP,8:00 PM,WEDNESDAY,CENTER CITY,,,"CENTER CITY, PHILADELPHIA, PA",QUIZZO
O'JUNG'S,7:00 PM,WEDNESDAY,PENNSPORT,,SJK MEDIA,"PENNSPORT, PHILADELPHIA, PA",QUIZZO
TOSKA,7:00 PM,WEDNESDAY,MOUNT AIRY,,KARLYMOONTRIVIA,"MOUNT AIRY, PHILADELPHIA, PA",QUIZZO
UNION TAP HOUSE,7:30 PM,WEDNESDAY,MANAYUNK,50,JUSTIN CREDIBLE,"4801 UMBRIA ST, PHILADELPHIA, PA 19127",QUIZZO
HENRY JAMES SALOON,7:00 PM,WEDNESDAY,ROXBOROUGH,,TRIVIAMONTY,"577 E JAMESTOWN ST., PHILADELPHIA, PA 19128",QUIZZO
FRINGE ARTS,7:00 PM,,OLD CITY,,JGT QUIZZO,"OLD CITY, PHILADELPHIA, PA",QUIZZO
NATIONAL MECHANICS,8:00 PM,WEDNESDDAY,OLD CITY,,THE PHILLY QUIZZO,"22 S 3RD STREET, PHILADELPHIA, PA",QUIZZO
THE SHIPYARD BAR,7:00 PM,WEDNESDAY,PORT RICHMOND,$50 GC,ELI'S QUIZZO REVIVAL,"2537 E ONTARIO ST, PHILADELPHIA, PA 19134",QUIZZO
NUT HUT SALOON,8:00 PM,WEDNESDAY,FISHTOWN,,,"FRANKFORD AVE, PHILADELPHIA, PA",QUIZZO
NEW DECK TAVERN,8:00 PM,WEDNESDAY,UNIVERSITY CITY,,,"3408 SANSOM ST, PHILADELPHIA, PA 19104",QUIZZO
LOVE CITY BREWING,7:00 PM,WEDNESDAY,CALLOWHILL,,WILL WALKER,"1023 HAMILTON ST, PHILADELPHIA, PA 19123",QUIZZO
THE INTERNATIONAL,7:00 PM,WEDNESDAY,FISHTOWN,,MIKEV_EE,"1624 N FRONT ST, PHILADELPHIA, PA 19122",QUIZZO
WISSAHICKON BREWING COMPANY,7:30 PM,THURSDAY,EAST FALLS,,SEAN MAGUIRE,"3705 W SCHOOL HOUSE LN, PHILADELPHIA, PA 19129",QUIZZO
WISSAHICKON BREWING COMPANY,7:30 PM,THURSDAY,OLDE KENSINGTON,,PRIOR (LUNCH MONEY),"AMERICAN ST, PHILADELPHIA, PA",QUIZZO
STIR LOUNGE,7:30 PM,THURSDAY,CENTER CITY,,ANYA HEART,"17TH AND CHANCELLOR, PHILADELPHIA, PA",QUIZZO
PIZZATA BIRRERIA,8:15 PM,THURSDAY,E PASSYUNK,,JOHNNY GOODTIMES,"E PASSYUNK, PHILADELPHIA, PA",QUIZZO
