BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
URBAN SALOON,"RESTAURANT,BAR",7:00 PM,THURSDAY,,FAIRMOUNT,2120 FAIRMOUNT AVE,,PHILADELPHIA,PA,19130,,,,,,,SECCHIO EXPERIENCES,QUIZZO,"2120 FAIRMOUNT AVE, PHILADELPHIA, PA, 19130",39.9670625,-75.1729382
BAR LY,"RESTAURANT,BAR",8:00 PM,TUESDAY,,CHINATOWN,101 N 11TH ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO,"101 N 11TH ST, PHILADELPHIA, PA, 19107",39.9541459,-75.1576212
JOSE PISTOLA'S,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,CENTER CITY,263 S 15TH ST,,PHILADELPHIA,PA,19102,,,,,,,,QUIZZO,"263 S 15TH ST, PHILADELPHIA, PA, 19102",39.9479465,-75.1664047
"FINGERS, WINGS & OTHER THINGS","RESTAURANT,BAR",8:00 PM,THURSDAY,,,107 W RIDGE PIKE,,CONSHOHOCKEN,PA,19428,,,,,,,,QUIZZO,"107 W RIDGE PIKE, CONSHOHOCKEN, PA, 19428",40941295,-75.2878983
HUNT'S ANNEX,"RESTAURANT,BAR",8:00 PM,TUESDAY,,,1311 MACDADE BLVD,,WOODLYN,PA,19094,,,,,,,,QUIZZO,"1311 MACDADE BLVD, WOODLYN, PA, 19094",39.8783199,-75.3440219
WORLD OF BEER EXTON,"RESTAURANT,BAR",8:00 PM,TUESDAY,,,102 MAIN ST,STE 100,EXTON,PA,19341,,,,,,,,QUIZZO,"102 MAIN ST, STE 100, EXTON, PA, 19341",40236527,-75.6293103
LOCK 29,"RESTAURANT,BAR",8:00 PM,TUESDAY,FIRST_OF_MONTH,,127 BRIDGE ST,,MONT CLARE,PA,19453,,,,,,,,QUIZZO,"127 BRIDGE ST, MONT CLARE, PA, 19453",40.1361036,-75.5074325
RIVALS,"RESTAURANT,BAR",7:30 PM,THURSDAY,,,5 LEHNS CT,,EASTON,PA,18042,,,,,,,,QUIZZO,"5 LEHNS CT, EASTON, PA, 18042",40.6908567,-75.208318
LANDMARK AMERICANA,"RESTAURANT,BAR",6:30 PM,WEDNESDAY,,,1 MULLICA HILL RD,,GLASSBORO,NJ,8028,,,,,,,,QUIZZO,"1 MULLICA HILL RD, GLASSBORO, NJ, 8028",39.7066449,-75.1113702
TIME OUT,"RESTAURANT,BAR",6:30 PM,TUESDAY,,,2840 PINE RD,,HUNTINGDON VALLEY,PA,19006,,,,,,,,QUIZZO,"2840 PINE RD, HUNTINGDON VALLEY, PA, 19006",40.122363,-75444952
LANSDALE TAVERN,"RESTAURANT,BAR",7:00 PM,MONDAY,,,839 W MAIN ST,,LANSDALE,PA,19446,,,,,,,,QUIZZO,"839 W MAIN ST, LANSDALE, PA, 19446",40.2475391,-75.2934744
STATE STREET PUB,"RESTAURANT,BAR",7:30 PM,THURSDAY,,,37 E STATE ST,,MEDIA,PA,19063,,,,,,,,QUIZZO,"37 E STATE ST, MEDIA, PA, 19063",39.9178175,-75.3879727
OAKLYN MANOR BAR,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,,198 W CLINTON AVE,,OAKLYN,NJ,8107,,,,,,,,QUIZZO,"198 W CLINTON AVE, OAKLYN, NJ, 8107",39.902344,-7581255
WEST END,"RESTAURANT,BAR",8:00 PM,THURSDAY,,,750 N WEST END BLVD,,QUAKERTOWN,PA,18951,,,,,,,,QUIZZO,"750 N WEST END BLVD, QUAKERTOWN, PA, 18951",40.4632383,-75.3697421
THE VILLAGE PUB,"RESTAURANT,BAR",7:00 PM,MONDAY,,,5 VILLAGE CENTER DR,,SWEDESBORO,NJ,8085,,,,,,,,QUIZZO,"5 VILLAGE CENTER DR, SWEDESBORO, NJ, 8085",39.75725599011467,-75.353889577647
DAHLAK,"RESTAURANT,BAR",7:00 PM,MONDAY,,CEDAR PARK,4708 BALTIMORE AVE,,PHILADELPHIA,PA,19143,,,,,,,,QUIZZO,"4708 BALTIMORE AVE, PHILADELPHIA, PA, 19143",39.94835,-75.2173572
RACK'S PUB,"RESTAURANT,BAR",7:00 PM,MONDAY,,,2021 N BLACK HORSE PIKE,,WILLIAMSTOWN,NJ,8094,,,,,,,,QUIZZO,"2021 N BLACK HORSE PIKE, WILLIAMSTOWN, NJ, 8094",39.6898302,-74.9932339
