Name,Yelp Alias,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities
Morimoto,morimoto-philadelphia,,"723 Chestnut St, Philadelphia, PA 19106",39.94966523,-75.1532727,http://www.morimotorestaurant.com,"['Japanese', 'Sushi Bars']",$$$$,2092.0,N,N,,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 10:00 PM,,4.3,54.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Limited Vegetarian Options","Trendy, Upscale, Dressy, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi"
Moshulu,moshulu-philadelphia-4,https://www.opentable.com/restaurant/profile/2467/reserve?ref=9169,"401 S Columbus Blvd., Philadelphia, PA 19106",39.94204703,-75.14199813,http://www.moshulu.com,"['Seafood', 'American (New)', 'Cocktail Bars']",$$$,1019.0,N,N,Penn&#x27;s Landing,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 8:00 PM,True,3.5,59.0,"Street Parking, Bike Parking, Private Lot Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Classy, Romantic, Dressy, Moderate Noise","Open to All, Wheelchair Accessible",,Provides reusable tableware,"Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Moustaki Authentic Gyros,moustaki-authentic-gyros-philadelphia,,"161 N 21st St, Philadelphia, PA 19103",39.95755,-75.17403,http://www.moustakigyro.com,['Greek'],$$,185.0,N,N,"Logan Square, Penn Center, Art Museum District",11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,,4.0,41.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi"
Murph's Bar,murphs-bar-philadelphia,,"202 E Girard Ave, Philadelphia, PA 19125",39.9689397,-75.1334333,,"['Sports Bars', 'Italian', 'Irish Pub']",$$,406.0,N,N,Fishtown,1:00 PM - 2:00 AM,1:00 PM - 2:00 AM,1:00 PM - 2:00 AM,1:00 PM - 2:00 AM,12:30 PM - 2:00 AM,12:30 PM - 2:00 AM,12:30 PM - 2:00 AM,True,4.3,52.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,Offers Takeout,Vegetarian Options,"Divey, Casual, Moderate Noise",,,Provides reusable tableware,Takes Reservations,Outdoor Seating,Dessert,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Mustard Greens Restaurant,mustard-greens-restaurant-philadelphia,http://www.mustardgreensphilly.com/reservations,"622 S 2nd St, Philadelphia, PA 19147",39.94052887,-75.14604187,http://www.mustardgreensphilly.com,['Chinese'],$$,108.0,N,N,Queen Village,Closed,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,,4.0,37.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Casual, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Drive-Thru",,,Full Bar,"TV, Wi-Fi"
MUTA Korean BBQ & Karaoke,muta-korean-bbq-and-karaoke-philadelphia-3,,"5501 N Front St, Philadelphia, PA 19120",40.03477478,-75.12116241,,"['Korean', 'Karaoke']",$$,25.0,N,N,Olney,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,True,4.3,44.0,"Bike Parking, Private Lot Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi"
Nam Phuong,nam-phuong-philadelphia,http://www.namphuongphilly.com/reservations,"1100 Washington Ave, Philadelphia, PA 19147",39.9364886,-75.1622139,http://www.namphuongphilly.com/,"['Vietnamese', 'Seafood']",$$,795.0,N,N,Passyunk Square,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,,3.9,47.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,,Dinner,Offers Delivery,"Vegan Options, Vegetarian Options","Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi"
Nan Zhou Hand Drawn Noodle House,nan-zhou-hand-drawn-noodle-house-philadelphia,,"1022 Race St, Philadelphia, PA 19107",39.95540057,-75.1569011,http://nanzhounoodlehouse.com,"['Chinese', 'Noodles']",$$,2356.0,N,N,Chinatown,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:00 PM,,4.2,54.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Moderate Noise",,,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating",Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
National Mechanics,national-mechanics-philadelphia,https://www.exploretock.com/nationalmechanics,"22 S 3rd St, Philadelphia, PA 19106",39.94955,-75.14614,http://www.nationalmechanics.com,"['Pubs', 'Dance Clubs', 'Gastropubs']",$$,925.0,N,N,Old City,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 12:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 10:00 PM,True,3.9,51.0,"Street Parking, Bike Parking, Private Lot Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Pescatarian Options, Vegetarian Options","Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,"Plastic-free packaging, Provides reusable tableware, Compostable containers available, Bring your own container allowed",Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
Nemi Restaurant,nemi-restaurant-philadelphia-2,,"2636 E Ann St, Flr 1, Phila, PA 19134",39.9816739,-75.10903068,http://www.nemirestaurant.com,['Mexican'],$$,150.0,N,N,"Kensington, Port Richmond",12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,,4.7,52.0,Street Parking,,Credit Cards,Latinx-owned,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options",Classy,"Open to All, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Drive-Thru",Dessert,,"Happy Hour, Full Bar","TV, Wi-Fi"
