Drink,Sips Price,Normal Price,Comparison Result,Comparison Fraction,Sips Bar
White,$6.10,$10.00,3.9,39.0,Iron Hill Brewery & Restaurant
Rosé,$6.05,$9.62,3.57,37.0,Iron Hill Brewery & Restaurant
Margarita,$7.00,$11.00,4.0,36.0,Kook Burger & Bar
Sauvignon Blanc,$6.00,$11.00,5.0,45.0,Kook Burger & Bar
Paloma,$7.00,$10.50,3.5,33.0,Ladder 15
Surfside Lemonade,$7.00,$9.00,2.0,22.0,Ladder 15
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Ladder 15
Michelob Ultra,$5.00,$5.50,0.5,9.0,Ladder 15
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Leda and the Swan Cocktail Lounge
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Leda and the Swan Cocktail Lounge
Rosé,$6.05,$9.62,3.57,37.0,Leda and the Swan Cocktail Lounge
Paloma,$7.00,$10.50,3.5,33.0,Little Nonna's
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Little Nonna's
Margarita,$7.00,$11.00,4.0,36.0,Marathon 16th & Sansom
Merlot,$6.00,$12.12,6.12,50.0,Marathon 16th & Sansom
Chardonnay,$6.00,$11.31,5.31,47.0,Marathon 16th & Sansom
Michelob Ultra,$5.00,$5.50,0.5,9.0,Marathon 16th & Sansom
Paloma,$7.00,$10.50,3.5,33.0,Misconduct Tavern
Bud Light,$5.00,$5.50,0.5,9.0,Misconduct Tavern
Aperol Spritz,$7.00,$12.00,5.0,42.0,The Mulberry on Arch
Rosé,$6.05,$9.62,3.57,37.0,The Mulberry on Arch
PBR,$5.00,$4.00,-1.0,-25.0,The Mulberry on Arch
Margarita,$7.00,$11.00,4.0,36.0,Pagano's Market and Bar
Aperol Spritz,$7.00,$12.00,5.0,42.0,Patchwork
White,$6.10,$10.00,3.9,39.0,Patchwork
Paloma,$7.00,$10.50,3.5,33.0,The Patio @ Thirteen Restaurant
Margarita,$7.00,$11.00,4.0,36.0,The Patio @ Thirteen Restaurant
Margarita,$7.00,$11.00,4.0,36.0,The Patio @ Thirteen Restaurant
Moscow Mule,$7.00,$11.00,4.0,36.0,The Patio @ Thirteen Restaurant
Chardonnay,$6.00,$11.31,5.31,47.0,The Patio @ Thirteen Restaurant
Malbec,$6.00,$9.88,3.88,39.0,The Patio @ Thirteen Restaurant
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,The Patio @ Thirteen Restaurant
Sauvignon Blanc,$6.00,$11.00,5.0,45.0,The Patio @ Thirteen Restaurant
Pinot Noir,$6.00,$8.50,2.5,29.0,The Patio @ Thirteen Restaurant
Coors Light,$5.00,$5.50,0.5,9.0,The Patio @ Thirteen Restaurant
Miller Lite,$5.00,$5.33,0.33,6.0,The Patio @ Thirteen Restaurant
Michelob Ultra,$5.00,$5.50,0.5,9.0,The Patio @ Thirteen Restaurant
