Name,Address,SIPS_URL,Website,Latitude,Longitude,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_PHOTO
Pearl & Mary,"114 S 13th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pearl-mary,https://www.pearlandmary.com,39.94963295,-75.16188572,"Paloma -Hornitos Tequila, Grapefruit, Soda Gimlet: Vodka, Lime, Simple","Spinelli Pinto Grigio
Barbara Rose
Cardiff Merlot
Fet d'Or Sparkling",Love City Lager,"clam $1
oyster $2
shrimp $3
daily crudo $7
chicken sandwich $7
smash burger $7
fish sandwich $7
mussel toast $3
deviled eggs $4
fish fritter $6
fries $4",https://centercityphila.org/uploads/attachments/clhtl8zh56oho0vqdg15t4vv9-pearl-and-mary.600.0.2400.2400.full.jpg
Pizzeria Vetri Rittenhouse,"1615 Chancellor St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#pizzeria-vetri-rittenhouse,http://pizzeriavetri.com,39.9493994,-75.16841,Seasonal draft cocktails selection - Citrus Margarita,Seasonal draft wine selection,Seasonal draft beer selection,"$10 Selected Pizza (Margherita, Marinara, Maurizio)",https://centercityphila.org/uploads/attachments/clcrwv6etssfswgqdbai4wv8p-pizzeria-vetri.200.0.800.800.full.png
Prunella,"112 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#prunella,https://prunellaphl.com,39.94964342,-75.16188346,Pistola ROSA,"House Wine: Red, White or Rose",Happy Hour Beer,"SNACKS: pizza, arancini, slider",https://centercityphila.org/uploads/attachments/cl3udxaaw0p6driqd94fo2kz4-prunella-use.269.0.962.962.full.jpg
Restaurant Aleksandar,"126 S 19th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#restaurant-aleksandar-2,,39.9513407,-75.1705557,"C’est la Vie - ypioka cachaça | aperol | hornitos tequila | watermelon | jalapeno | sugar cane
Serbian Kiss - plum brandy | crème de violette | lemon | blueberry lavender
Blood Orange Margarita - hornitos tequila | limes | sugar cane
Tom Collins - gin | lemon | fever-tree club soda
Rittenhaus Punch - seasonal selection of Spirits and/or wine and fresh juices","Tempranillo - Bodega Vicente Sanz, 'Miralalba', Castilla y Leon, Spain, 2020
Chardonnay - Domaine de La Tour, 'Tour de Gatigne', 2021
Prosecco - Giuliano Rosati, Veneto, Italy, NV","Peroni 'Nastro Azzurro - European Lager, 5.1% Rome, Italy
Früh Kolsch - Blonde Ale, 4.8% Cologne, Germany","Pierogi - onion jam | celery salad | cheddar mash | max hosey crème fraiche $6
Deviled Eggs - pancetta | trout roe | chive $6
PEI Mussels - saffron sauce | dijon mustard | toasted sourdough $10
Beef Tartare - caramelized onion | sunchoke| pickled peppers| sesame seed baguette $9
Crispy Brussel Sprouts - sweet & sour sauce | toasted pepitas | shishito peppers | candied citrus $12",https://centercityphila.org/uploads/attachments/cll9nk80cajh1m8qddx6ii38s-restaurantaleksandar.487.0.1566.1566.full.png
Sampan,"124 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sampan7,http://www.sampanphilly.com,39.9495191,-75.1622021,"Penang Paloma - Hornitos, Grapefruit, Lemongrass, Guava","Chardonnay
Cabernet",New Trail Crisp Lager,"$7:
KOREAN BBQ BEEF SATAY Short Rib, Kim Chee, Ginger 
VIETMANESE CHICKEN Pickled Papaya, Nước Chấm 
CRISPY BRUSSELS SPROUT Puffed Rice, Fish Sauce, 
Chili ROASTED BROCCOLI Pine Nut, White Soy, Garlic 
KIM CHEE FRIED RICE Shrimp, Shallot, Poached Egg
$8:
PORK BAO Pork Belly, Shallot, Mint 
CHILI CRISP CHICKEN BAO Pickled Cucumber, Dill, Chili 
KOBE HOT DOG (3) Smoked Mustard KOBE SLIDER (2) Swiss, Yakitori, Brioche 
EDAMAME DUMPLING Truffle, Pea Shoot, Sake Broth 
MUSHROOM SHUMAI Shiitake, Jasmine Rice, Soy 
PORK POTSTICKER Soy, Sesame, Scallion 
KUNG PAO CHICKEN WING Celery, Basil, Peanut",https://centercityphila.org/uploads/attachments/civiimo6s016fmpqdw3tay7l6-sampan-rw-photo-by-e-mencher-for-visit-philadelphia-r.39.0.603.603.full.jpg
Strangelove's,"1112 Chestnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#strangeloves,http://strangelovesbeerbar.com,39.9500571,-75.15919019,,,,,https://centercityphila.org/uploads/attachments/ciyahjvr50iafu5qdu5tzls7x-restaurant-week-sips-filler-image.0.0.720.720.full.jpg
Sueno,"114 S. 12th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sueno,http://suenophilly.com,39.9498686,-75.1606032,Hornitos Passionfruit Margarita,"House Red 
House White
House Rose","2SP Up & Out
Modelo","$7 Beef or Chicken Empanada
$5 Street Corn
$5 Veggie Nacho 
Stay here after SIPS and get 15% off dinner!",https://centercityphila.org/uploads/attachments/cl3udyvny0p6jriqdrrn8w8xa-sueno.6.0.1158.1158.full.jpg
Sura Indian Bistro,"1726 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sura-indian-bistro,https://www.surabistro.com,39.9515042,-75.1698515,"Jango Mango - Hornitos Tequila, House Special Mango Puree
Endless Summer -Vodka, Elderflower Liqueur, Ginger Syrup","Valdinevola Italy Pinot Grigio
Valdinevola Italy Cabernet / Merlot Blend","Troegs Perpetual IPA
Love City Lager","Veggie Samosa $4
Pastry Shell Filled with Potatoes and Green Peas, Served with House Mint Sauce

Chicken 65 $7
Chicken Sautéed in Tangy “65” Sauce with Cilantro & Sesame

Amritsari Fish Fry $7
North Indian Style Fish Fingers Coated with Chickpeas Flour and Cardamom Seeds",https://centercityphila.org/uploads/attachments/cktiohlqd29qppeqdo66u5jyn-ancient-spirits-grille.106.6.929.929.full.jpg
Taste Cheesesteak Bar,"1809 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#taste-cheesesteak-bar,https://www.tastecheesesteaks.com,39.95430708,-75.17003386,"Drop your location lemon drop with Hornitos $7 
The NTN90 Crown Apple mule $7 
Jolly Rancher $6 
House Margarita $6 
Tequila Sunrise $6 
House Punch $6",All Wine,"$3
Coors Light, Bud Light, Corona, Miller Light, Stella Artois, Michelob Ultra, Yuengling
$4
Ultra Budweiser, Heineken, Modelo
$4.50
Specialty","Chicken wings and French fries $12
Chicken Cheesesteak roll w/ French fries $14 
Beef Cheesesteak Roll w/ French fries $14",https://centercityphila.org/uploads/attachments/clvy67ul626vodjqdqp22kirt-taste-cheesesteak.0.1000.4000.4000.full.jpg
Thanal Indian Tavern,"1939 Arch Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#thanal-indian-tavern,https://www.thanalphilly.com,39.95573105,-75.17256255,"Moscow Mule
Thanal Craft Cocktail
Tamarind Margarita
Mango Margarita","Malbec
Merlot
Pinot Noir","King Fisher
Taj Mahal
Yuengling Lager
Blue Moon
Sam Adam","Chicken 65
Onion Pakoda
Sundal",https://centercityphila.org/uploads/attachments/cjvqpu1f81gj8rfqdp8i70n1t-capture.0.7.822.822.full.png
