Name,Address,SIPS_URL,Website
Drinker's Pub,"1903 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#drinker-s-pub,http://www.drinkersrittenhouse.com
The Elephant,"1500 Locust St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-elephant,https://www.craftconceptsgroup.com
F1 Arcade,"1330 Chestnut St,  Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#f1-arcade,https://www.f1arcade.com
Fado Irish Pub,"1500 Locust Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#fado-irish-pub,http://fadoirishpub.com/philadelphia
Finn McCools Ale House,"118 S 12th Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#finn-mccools-ale-house,http://www.finnmccoolsphilly.com
Flambo Caribbean Restaurant,"205 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#flambo-caribbean-restaurant,http://www.flamboh.com
Flight Club Social Darts,"1417 Walnut Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#flight-club-social-darts,https://www.flightclubdartsusa.com/philadelphia
Franky Bradley's | B.West,"1320 Chancellor St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#franky-bradley-b-west,http://www.frankybradleys.com
Garage Rittenhouse,"1501 Spruce St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#garage-rittenhouse,http://www.garagephilly.com
Giuseppe & Sons,"1523 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#giuseppe-sons,https://giuseppesons.com
Good Good Things Bar,"11 S. 21st Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#good-good-things-bar,https://www.goodgoodthingsbar.com
Gran Caffe L'Aquila,"1716 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#gran-caffe-l-aquila,http://grancaffelaquila.com
Hard Rock Cafe,"1113 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#hard-rock-cafe,https://www.hardrockcafe.com/location/philadelphia
Harp & Crown,"1525 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#harp-crown1,http://harpcrown.com
Harper's Garden,"31 S. 18th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#harpers-garden6,https://harpersgardenphilly.com
The Hayes,"1123 Walnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-hayes,http://www.thehayesphl.com
Hi-Lo Taco Co.,"1109 Walnut Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#hi-lo-taco,https://www.hilotacoco.com
High Street,"101 S. 9th Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#high-street,http://HighStreetPhilly.com
Independence Beer Garden,"100 S Independence Mall W, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#independence-beer-garden,http://phlbeergarden.com
Iron Hill Brewery & Restaurant,"1150 Market Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#iron-hill-brewery-restaurant,https://ironhillbrewery.com/location/philadelphia-pa
Ladder 15,"1528 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#ladder-15,http://www.ladder15philly.com
Liberté Lounge,"120 S 17th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#liberté-lounge,https://www.sofitel-philadelphia.com/dining-lounge/liberte-lounge
Lucy's Bar,"1720 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#lucys-bar,http://lucysphiladelphia.com
Marathon Grill,"121 S 16th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#marathon-grill-2,http://www.eatmarathon.com
Midnight & The Wicked,"1500 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#midnight-wicked,https://www.MidnightAndTheWicked.com
Misconduct Tavern (JFK),"1801 John F Kennedy Blvd, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#misconduct-tavern-jfk,http://misconducttavern.com
Misconduct Tavern (Locust),"1511 Locust St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#misconduct-tavern-locust,http://misconducttavern.com
